customer,instance_name,uri,servicename,healthcheck_flag,remote_name,status,final_status,transaction_date,hour,partner,transaction_count,bytes_sent,bytes_received
Skiptube,api-gateway-16,/customers/3386,NotificationEngine,False,BillingService,Failed,Completed,2020-01-01,20,Partner8,141,626755,413613
Rhycero,api-gateway-12,/customers/2255,PaymentGateway,True,SmartLock-Entrance,Pending,Pending,2020-08-13,12,Partner4,130,437759,625187
Pixope,api-gateway-94,/customers/8426,OrderManagementService,True,BillingService,Pending,Pending,2021-02-06,22,Partner3,916,819455,314944
Npath,api-gateway-32,/customers/5265,GoogleMapsAPI,False,ApigeeEdge,Pending,Pending,2021-08-15,0,Partner7,334,91919,278236
Wikizz,api-gateway-53,/customers/2435,LoggingService,True,192.168.1.10,Completed,Failed,2020-04-30,9,Partner3,73,126416,338691
Janyx,api-gateway-41,/customers/9152,DatabaseProxyService,False,AzureBlobStorage,Completed,Completed,2020-04-12,5,Partner7,468,529988,932249
Jamia,api-gateway-69,/customers/9318,InventoryModule,False,AzureBlobStorage,Completed,Failed,2020-08-04,2,Partner2,317,919836,851587
Mydeo,api-gateway-53,/customers/3762,NotificationEngine,True,SalesforceCRM,Pending,Failed,2020-09-23,20,Partner8,198,564548,392341
Vitz,api-gateway-26,/customers/0468,ConfigService,True,SalesforceCRM,Failed,Pending,2020-03-13,0,Partner8,291,434650,998915
Blogtags,api-gateway-35,/customers/4530,MessageQueueService,False,BillingService,Completed,Pending,2022-01-07,13,Partner2,946,1368,395192
Fivebridge,api-gateway-40,/customers/6430,PaymentGateway,True,AuthService,Completed,Completed,2020-02-09,3,Partner2,101,813536,707626
Photobug,api-gateway-26,/customers/4210,GoogleMapsAPI,False,192.168.1.10,Pending,Completed,2020-01-21,6,Partner8,734,880820,842733
Jayo,api-gateway-17,/customers/8051,NotificationEngine,False,AWS_S3,Pending,Completed,2020-09-17,11,Partner2,807,789312,106683
JumpXS,api-gateway-16,/customers/7632,NotificationEngine,True,BillingService,Completed,Completed,2021-04-09,20,Partner4,821,660651,438323
Gevee,api-gateway-36,/customers/8262,InventoryModule,True,192.168.1.10,Failed,Pending,2021-01-26,13,Partner5,363,325726,242036
Oba,api-gateway-89,/customers/1869,MessageQueueService,False,Server42,Completed,Failed,2020-10-12,17,Partner1,153,255019,833500
Rhycero,api-gateway-76,/customers/0531,CatalogService,True,BillingService,Completed,Failed,2022-08-12,12,Partner8,342,407051,789965
Wordify,api-gateway-98,/customers/8218,MessageQueueService,False,BillingService,Failed,Failed,2021-08-22,10,Partner8,889,472361,610955
Realcube,api-gateway-41,/customers/7122,ConfigService,True,SalesforceCRM,Pending,Pending,2020-05-10,6,Partner7,183,774729,418079
Voomm,api-gateway-01,/customers/2731,MessageQueueService,True,RedisCache,Pending,Failed,2021-03-17,0,Partner4,620,355347,82508
Quatz,api-gateway-74,/customers/6374,MessageQueueService,True,BillingService,Failed,Completed,2022-01-05,14,Partner4,142,938560,490444
Babbleset,api-gateway-07,/customers/9190,PaymentGateway,True,SensorArrayA1,Failed,Completed,2022-03-02,13,Partner2,985,165490,510084
Feedspan,api-gateway-28,/customers/7645,DatabaseProxyService,True,ApigeeEdge,Failed,Failed,2022-04-01,10,Partner9,529,527002,678217
Meezzy,api-gateway-89,/customers/6712,CatalogService,False,SmartLock-Entrance,Failed,Completed,2021-10-20,13,Partner2,977,234796,480624
Trilith,api-gateway-09,/customers/7381,InventoryModule,True,SensorArrayA1,Failed,Pending,2020-11-27,19,Partner7,521,165889,267439
Divavu,api-gateway-82,/customers/9662,LoggingService,False,DBCluster01,Completed,Completed,2022-09-23,2,Partner1,99,133181,595200
Aivee,api-gateway-21,/customers/3858,LoggingService,True,AzureBlobStorage,Failed,Completed,2021-10-31,2,Partner4,26,943352,546529
Realfire,api-gateway-09,/customers/8597,PaymentGateway,False,SmartLock-Entrance,Failed,Failed,2022-05-15,3,Partner2,454,366459,156717
Dabjam,api-gateway-90,/customers/8690,UserService,True,AzureBlobStorage,Failed,Failed,2021-11-03,17,Partner5,241,108563,1032
Kimia,api-gateway-91,/customers/0645,PaymentGateway,True,KongGateway,Completed,Completed,2020-08-20,13,Partner3,459,264174,429673
Twinder,api-gateway-48,/customers/7644,DatabaseProxyService,True,RedisCache,Failed,Pending,2021-10-26,20,Partner2,844,11294,583200
Youfeed,api-gateway-12,/customers/4305,OrderManagementService,True,ApigeeEdge,Failed,Failed,2021-01-17,22,Partner8,211,946376,381176
Jaxspan,api-gateway-26,/customers/6182,LoggingService,True,DBCluster01,Completed,Completed,2020-03-08,0,Partner1,35,91565,446711
Mudo,api-gateway-79,/customers/0271,CatalogService,False,AWS_S3,Pending,Pending,2020-10-12,5,Partner8,726,82433,566239
Roomm,api-gateway-99,/customers/5228,LoggingService,True,AWS_S3,Pending,Failed,2021-03-28,4,Partner1,956,613401,516237
Twitterwire,api-gateway-37,/customers/6599,LoggingService,False,DBCluster01,Completed,Completed,2022-07-26,16,Partner8,214,631253,140114
Shuffledrive,api-gateway-63,/customers/4139,DatabaseProxyService,True,SmartLock-Entrance,Completed,Completed,2022-02-20,9,Partner3,476,577089,751553
Zoomcast,api-gateway-02,/customers/3754,LoggingService,True,BillingService,Failed,Completed,2022-07-21,2,Partner5,820,903649,581830
Voonte,api-gateway-58,/customers/4986,DatabaseProxyService,False,DBCluster01,Completed,Failed,2020-06-23,10,Partner3,283,222508,687341
Meemm,api-gateway-19,/customers/4902,LoggingService,True,DBCluster01,Failed,Pending,2020-05-28,1,Partner9,505,764835,993451
Yamia,api-gateway-52,/customers/1535,LoggingService,True,DBCluster01,Pending,Failed,2020-12-31,12,Partner9,486,584210,165817
Youfeed,api-gateway-91,/customers/3212,OrderManagementService,False,AzureBlobStorage,Failed,Completed,2021-01-15,13,Partner8,45,925393,84823
Aimbo,api-gateway-12,/customers/7009,DatabaseProxyService,False,AzureBlobStorage,Completed,Pending,2020-09-17,6,Partner7,448,417955,758250
Eire,api-gateway-08,/customers/0363,InventoryModule,False,AWS_S3,Completed,Completed,2022-11-30,20,Partner5,699,832208,24262
Demimbu,api-gateway-02,/customers/7896,OrderManagementService,False,SensorArrayA1,Failed,Pending,2022-05-03,9,Partner5,322,238097,585575
Tagcat,api-gateway-20,/customers/1284,CatalogService,True,SalesforceCRM,Pending,Pending,2021-12-27,19,Partner2,189,384446,689714
Yozio,api-gateway-82,/customers/7665,LoggingService,True,KongGateway,Completed,Pending,2020-04-20,10,Partner8,95,804377,237214
Livefish,api-gateway-59,/customers/3830,ConfigService,True,KongGateway,Completed,Completed,2020-12-20,11,Partner2,609,259695,124956
Thoughtbridge,api-gateway-43,/customers/0728,GoogleMapsAPI,True,192.168.1.10,Pending,Failed,2021-07-14,11,Partner2,339,30651,448421
Blogtags,api-gateway-59,/customers/3578,InventoryModule,True,ApigeeEdge,Pending,Completed,2021-02-24,19,Partner3,727,925172,195322
Eidel,api-gateway-20,/customers/6447,NotificationEngine,False,AWS_S3,Failed,Failed,2021-04-17,1,Partner4,12,443320,17013
Realpoint,api-gateway-92,/customers/8035,InventoryModule,True,SalesforceCRM,Failed,Pending,2022-12-22,5,Partner4,126,64774,107567
Topicstorm,api-gateway-61,/customers/5064,InventoryModule,True,192.168.1.10,Completed,Completed,2022-02-22,7,Partner4,792,688126,37045
Gabtune,api-gateway-74,/customers/2437,LoggingService,True,BillingService,Completed,Completed,2020-02-11,12,Partner2,217,744316,64540
Innojam,api-gateway-07,/customers/4472,UserService,False,KongGateway,Completed,Completed,2021-10-09,0,Partner9,697,905081,542535
Skipfire,api-gateway-64,/customers/4023,GoogleMapsAPI,True,SensorArrayA1,Pending,Completed,2021-09-29,3,Partner5,742,315910,963655
Teklist,api-gateway-24,/customers/4590,CatalogService,True,KongGateway,Pending,Pending,2022-06-16,11,Partner4,58,460197,90341
InnoZ,api-gateway-48,/customers/9201,ConfigService,True,192.168.1.10,Completed,Completed,2020-09-01,1,Partner6,967,604941,926501
Rhybox,api-gateway-84,/customers/4325,GoogleMapsAPI,False,GooglePubSub,Failed,Completed,2020-07-12,11,Partner2,261,732715,743999
Zoomdog,api-gateway-19,/customers/5365,InventoryModule,True,SalesforceCRM,Pending,Pending,2021-05-09,19,Partner1,830,946605,425501
Zoombox,api-gateway-45,/customers/1757,UserService,False,SensorArrayA1,Pending,Completed,2020-11-24,5,Partner6,7,65683,614637
Kamba,api-gateway-63,/customers/1087,OrderManagementService,True,RedisCache,Failed,Pending,2022-02-02,16,Partner7,776,646024,990022
Oyope,api-gateway-67,/customers/9754,OrderManagementService,True,Server42,Completed,Failed,2021-11-09,3,Partner7,498,744787,830087
Skipstorm,api-gateway-37,/customers/7057,CatalogService,False,SalesforceCRM,Failed,Completed,2022-03-16,3,Partner8,465,200760,679371
Blognation,api-gateway-34,/customers/2466,LoggingService,False,Server42,Completed,Pending,2022-07-04,13,Partner9,238,370865,682941
Edgetag,api-gateway-43,/customers/5427,InventoryModule,True,ApigeeEdge,Failed,Failed,2021-08-17,20,Partner6,771,771675,923909
Dabjam,api-gateway-22,/customers/0687,GoogleMapsAPI,True,SalesforceCRM,Pending,Completed,2022-04-24,9,Partner7,301,969689,216920
Browsebug,api-gateway-67,/customers/5528,OrderManagementService,False,BillingService,Pending,Completed,2021-10-21,17,Partner4,153,246705,257394
Meevee,api-gateway-35,/customers/3585,CatalogService,False,AuthService,Failed,Completed,2020-03-19,2,Partner5,395,120532,592475
Edgeblab,api-gateway-03,/customers/5887,UserService,False,SensorArrayA1,Completed,Pending,2022-04-07,7,Partner4,173,331231,491354
Katz,api-gateway-73,/customers/1847,PaymentGateway,False,AWS_S3,Completed,Completed,2021-04-02,6,Partner1,724,16404,696550
Photolist,api-gateway-49,/customers/3171,InventoryModule,False,SalesforceCRM,Pending,Pending,2021-05-24,9,Partner1,228,863617,448593
Podcat,api-gateway-68,/customers/6140,InventoryModule,True,AWS_S3,Completed,Completed,2020-05-02,9,Partner8,188,437001,300250
Twimm,api-gateway-73,/customers/1752,InventoryModule,True,KongGateway,Pending,Failed,2020-10-26,9,Partner6,722,552302,572826
Innotype,api-gateway-73,/customers/5517,DatabaseProxyService,False,AWS_S3,Completed,Completed,2020-12-12,20,Partner1,899,210339,867718
Meezzy,api-gateway-38,/customers/2292,GoogleMapsAPI,True,SalesforceCRM,Completed,Failed,2020-09-26,1,Partner2,965,190107,270286
Gabtype,api-gateway-16,/customers/2400,PaymentGateway,True,Server42,Failed,Failed,2021-08-04,4,Partner2,881,3801,913261
Topicblab,api-gateway-49,/customers/9895,InventoryModule,True,SensorArrayA1,Failed,Completed,2022-03-03,21,Partner9,315,795641,509609
InnoZ,api-gateway-63,/customers/2471,ConfigService,False,RedisCache,Failed,Pending,2021-07-27,3,Partner3,836,990664,881578
Thoughtbridge,api-gateway-64,/customers/6370,ConfigService,False,SalesforceCRM,Pending,Completed,2020-07-25,6,Partner1,917,719249,155758
Podcat,api-gateway-13,/customers/2004,CatalogService,False,KongGateway,Failed,Pending,2022-02-26,5,Partner3,476,223150,662679
Skinix,api-gateway-49,/customers/8963,ConfigService,True,SmartLock-Entrance,Failed,Completed,2022-11-07,11,Partner8,207,923380,391551
Mycat,api-gateway-36,/customers/7440,GoogleMapsAPI,True,ApigeeEdge,Pending,Failed,2022-06-07,3,Partner3,132,514740,167860
Skyvu,api-gateway-94,/customers/0595,GoogleMapsAPI,False,SmartLock-Entrance,Completed,Completed,2020-10-26,8,Partner1,78,419012,130441
Quimm,api-gateway-07,/customers/7835,ConfigService,False,AuthService,Pending,Completed,2021-09-23,1,Partner3,389,605816,87425
Jaxnation,api-gateway-39,/customers/4527,GoogleMapsAPI,False,KongGateway,Failed,Failed,2022-08-05,15,Partner2,610,128441,421891
Jabberbean,api-gateway-09,/customers/9467,ConfigService,False,KongGateway,Completed,Completed,2022-05-08,2,Partner6,931,842134,504643
Layo,api-gateway-63,/customers/5205,GoogleMapsAPI,False,AWS_S3,Failed,Pending,2022-10-16,13,Partner5,389,88316,263563
Brightbean,api-gateway-42,/customers/7419,ConfigService,False,AuthService,Completed,Pending,2020-12-06,2,Partner9,323,911068,816298
Zoombox,api-gateway-92,/customers/4042,MessageQueueService,False,KongGateway,Completed,Pending,2020-09-19,6,Partner8,525,80580,273141
Feednation,api-gateway-56,/customers/7810,ConfigService,True,BillingService,Completed,Pending,2022-05-17,20,Partner4,905,761860,661199
Riffwire,api-gateway-13,/customers/4374,PaymentGateway,True,Server42,Pending,Pending,2020-12-30,7,Partner3,230,217569,421454
Yacero,api-gateway-27,/customers/1546,DatabaseProxyService,True,SalesforceCRM,Failed,Failed,2022-09-25,19,Partner8,203,260168,52087
Pixope,api-gateway-59,/customers/0630,NotificationEngine,False,AzureBlobStorage,Completed,Pending,2021-04-28,10,Partner6,623,832287,846465
Gabtype,api-gateway-38,/customers/2778,DatabaseProxyService,True,DBCluster01,Completed,Completed,2021-11-28,9,Partner7,822,434657,920478
Ailane,api-gateway-36,/customers/3491,CatalogService,False,192.168.1.10,Failed,Pending,2022-04-09,19,Partner3,184,228527,782000
Ozu,api-gateway-27,/customers/0834,CatalogService,False,SmartLock-Entrance,Completed,Pending,2022-02-05,8,Partner5,810,839958,792669
Rhyloo,api-gateway-66,/customers/9830,InventoryModule,False,AuthService,Failed,Completed,2020-05-05,5,Partner3,938,7125,293495
Minyx,api-gateway-82,/customers/4416,InventoryModule,False,192.168.1.10,Failed,Failed,2022-08-10,7,Partner4,535,115146,499910
Mynte,api-gateway-25,/customers/1395,DatabaseProxyService,True,Server42,Failed,Failed,2021-11-08,18,Partner1,747,593173,626401
Reallinks,api-gateway-98,/customers/6071,MessageQueueService,False,RedisCache,Failed,Pending,2022-05-29,18,Partner9,556,238735,510501
Aimbo,api-gateway-35,/customers/0987,ConfigService,False,AuthService,Failed,Pending,2020-02-20,23,Partner5,145,276631,246946
Mudo,api-gateway-59,/customers/0328,DatabaseProxyService,True,AzureBlobStorage,Pending,Completed,2022-12-09,20,Partner5,772,715813,5893
Skippad,api-gateway-75,/customers/9263,InventoryModule,False,AuthService,Completed,Pending,2022-03-03,2,Partner1,218,703555,808036
Oyoyo,api-gateway-32,/customers/3746,NotificationEngine,True,SensorArrayA1,Pending,Pending,2020-08-16,17,Partner5,313,187575,317784
Brainbox,api-gateway-15,/customers/8784,UserService,True,AuthService,Pending,Completed,2022-10-21,17,Partner9,462,464902,607131
Lazz,api-gateway-30,/customers/2022,GoogleMapsAPI,True,ApigeeEdge,Pending,Completed,2020-12-06,3,Partner6,434,948586,166841
Realbridge,api-gateway-06,/customers/4798,ConfigService,True,AzureBlobStorage,Pending,Completed,2022-02-15,23,Partner3,18,285434,337553
Plajo,api-gateway-95,/customers/0152,OrderManagementService,True,KongGateway,Pending,Failed,2021-09-02,4,Partner2,363,389794,441575
Miboo,api-gateway-04,/customers/8855,MessageQueueService,False,BillingService,Failed,Completed,2021-05-17,18,Partner3,880,872170,482572
Shufflester,api-gateway-37,/customers/5561,PaymentGateway,True,AuthService,Failed,Completed,2022-08-06,4,Partner2,993,757920,713503
Muxo,api-gateway-18,/customers/7299,PaymentGateway,True,AWS_S3,Failed,Failed,2022-02-07,13,Partner9,938,660564,837487
Eabox,api-gateway-68,/customers/2323,NotificationEngine,False,192.168.1.10,Failed,Failed,2021-11-25,12,Partner3,77,815928,312356
Meemm,api-gateway-13,/customers/7289,NotificationEngine,False,AWS_S3,Failed,Failed,2021-02-05,14,Partner2,545,858376,662938
Photolist,api-gateway-77,/customers/6138,CatalogService,True,AzureBlobStorage,Completed,Failed,2022-04-15,1,Partner4,636,812757,30932
Rhybox,api-gateway-41,/customers/8716,PaymentGateway,False,KongGateway,Pending,Failed,2020-04-23,16,Partner7,87,558359,865761
Nlounge,api-gateway-72,/customers/3672,CatalogService,False,SensorArrayA1,Pending,Pending,2021-06-06,11,Partner9,354,647706,65352
Edgeclub,api-gateway-11,/customers/6876,DatabaseProxyService,False,SalesforceCRM,Failed,Pending,2021-10-24,0,Partner1,0,222919,497534
Ntags,api-gateway-40,/customers/3482,ConfigService,True,SalesforceCRM,Failed,Pending,2020-04-05,10,Partner8,627,834483,989839
Linkbridge,api-gateway-94,/customers/6354,OrderManagementService,True,192.168.1.10,Pending,Pending,2022-04-20,20,Partner9,784,973732,290650
Bubblemix,api-gateway-45,/customers/7609,ConfigService,True,ApigeeEdge,Completed,Completed,2021-04-11,9,Partner4,773,18193,427241
Voonder,api-gateway-00,/customers/3599,ConfigService,False,192.168.1.10,Completed,Completed,2022-03-25,13,Partner7,970,706658,392678
Izio,api-gateway-05,/customers/7943,GoogleMapsAPI,True,SalesforceCRM,Pending,Completed,2021-04-23,8,Partner7,806,585112,24835
Eare,api-gateway-37,/customers/7274,UserService,True,Server42,Completed,Completed,2022-11-30,16,Partner2,210,577014,328535
Bubblemix,api-gateway-11,/customers/7889,OrderManagementService,False,Server42,Failed,Pending,2022-04-19,12,Partner2,865,451441,319753
Pixoboo,api-gateway-52,/customers/2936,LoggingService,True,DBCluster01,Completed,Failed,2021-02-11,5,Partner3,946,211508,87259
Wordware,api-gateway-76,/customers/8432,PaymentGateway,True,ApigeeEdge,Failed,Completed,2022-11-13,9,Partner6,767,206148,682092
Youfeed,api-gateway-71,/customers/8066,LoggingService,True,Server42,Completed,Completed,2021-11-22,21,Partner3,518,278012,21921
Quatz,api-gateway-74,/customers/4307,OrderManagementService,True,AuthService,Failed,Completed,2022-06-17,9,Partner5,776,366289,252265
Devpulse,api-gateway-72,/customers/9827,GoogleMapsAPI,True,AWS_S3,Pending,Completed,2021-09-04,17,Partner4,902,708135,348561
Blogspan,api-gateway-72,/customers/2728,CatalogService,False,SensorArrayA1,Completed,Pending,2021-04-30,7,Partner1,977,668300,277468
Cogidoo,api-gateway-34,/customers/5556,MessageQueueService,False,BillingService,Completed,Failed,2020-04-27,19,Partner5,467,554160,467960
Rhycero,api-gateway-01,/customers/0017,GoogleMapsAPI,True,DBCluster01,Failed,Pending,2022-01-08,5,Partner9,379,971813,572426
Mynte,api-gateway-04,/customers/4148,UserService,True,Server42,Pending,Pending,2022-07-06,0,Partner3,533,759484,211366
Divanoodle,api-gateway-33,/customers/2693,GoogleMapsAPI,False,RedisCache,Completed,Pending,2021-02-12,11,Partner5,684,300604,959475
Topiclounge,api-gateway-01,/customers/9034,PaymentGateway,False,RedisCache,Failed,Completed,2022-05-31,21,Partner6,324,888100,576300
Quinu,api-gateway-44,/customers/9948,PaymentGateway,False,SalesforceCRM,Completed,Completed,2020-11-21,5,Partner9,412,279017,918960
Vinte,api-gateway-92,/customers/3855,MessageQueueService,False,GooglePubSub,Completed,Completed,2021-07-13,15,Partner2,132,357374,856697
Edgeify,api-gateway-49,/customers/5017,ConfigService,True,Server42,Pending,Completed,2022-07-05,1,Partner8,396,233907,264040
Riffpedia,api-gateway-87,/customers/2957,InventoryModule,False,GooglePubSub,Failed,Pending,2021-02-21,14,Partner7,592,128687,801383
Realmix,api-gateway-08,/customers/7225,LoggingService,False,SensorArrayA1,Failed,Completed,2021-12-20,0,Partner1,448,463463,665867
Topicblab,api-gateway-28,/customers/3868,UserService,False,AuthService,Completed,Completed,2020-08-13,3,Partner3,317,790394,889244
Pixope,api-gateway-16,/customers/1609,OrderManagementService,False,GooglePubSub,Failed,Pending,2021-02-20,6,Partner1,424,631373,463830
Twitterbridge,api-gateway-73,/customers/5707,PaymentGateway,True,KongGateway,Failed,Pending,2021-06-11,2,Partner3,611,770038,887390
Zazio,api-gateway-89,/customers/3204,CatalogService,False,AzureBlobStorage,Failed,Pending,2020-11-18,11,Partner1,278,108287,729108
Meeveo,api-gateway-56,/customers/4660,ConfigService,False,KongGateway,Completed,Pending,2020-03-01,21,Partner6,516,923126,290361
Demivee,api-gateway-37,/customers/4947,NotificationEngine,True,Server42,Completed,Failed,2022-12-29,15,Partner8,662,292268,425331
Kare,api-gateway-02,/customers/7337,NotificationEngine,False,AzureBlobStorage,Failed,Failed,2022-01-16,17,Partner1,152,174732,387069
Photofeed,api-gateway-33,/customers/2607,NotificationEngine,True,SmartLock-Entrance,Pending,Completed,2020-11-16,4,Partner9,188,478735,986705
Mydo,api-gateway-84,/customers/9891,DatabaseProxyService,True,SmartLock-Entrance,Completed,Pending,2022-10-02,1,Partner5,348,589522,367433
Rooxo,api-gateway-50,/customers/5772,OrderManagementService,False,AuthService,Pending,Completed,2022-12-17,23,Partner6,832,597347,511717
Photobug,api-gateway-62,/customers/9163,MessageQueueService,True,BillingService,Completed,Completed,2022-07-19,4,Partner8,664,119189,539478
Twiyo,api-gateway-12,/customers/6735,MessageQueueService,True,192.168.1.10,Completed,Failed,2022-08-07,14,Partner2,525,247875,823235
Mudo,api-gateway-28,/customers/0556,DatabaseProxyService,True,AzureBlobStorage,Failed,Completed,2021-04-22,1,Partner1,907,880746,365517
Linklinks,api-gateway-07,/customers/2758,MessageQueueService,True,GooglePubSub,Completed,Pending,2022-12-27,11,Partner9,974,548318,387470
Zooveo,api-gateway-04,/customers/5554,MessageQueueService,False,SmartLock-Entrance,Completed,Completed,2021-03-18,23,Partner2,223,158451,490592
Devpulse,api-gateway-23,/customers/1741,UserService,True,RedisCache,Pending,Failed,2020-02-13,2,Partner9,284,576353,731236
Janyx,api-gateway-77,/customers/8303,LoggingService,False,ApigeeEdge,Completed,Completed,2021-01-19,14,Partner2,494,33839,688607
Ntag,api-gateway-04,/customers/9677,LoggingService,True,Server42,Pending,Pending,2022-06-26,4,Partner2,929,801118,132775
Twinder,api-gateway-65,/customers/8384,MessageQueueService,False,SmartLock-Entrance,Failed,Pending,2022-04-20,11,Partner4,310,89684,696987
Yoveo,api-gateway-36,/customers/5987,GoogleMapsAPI,True,RedisCache,Pending,Completed,2022-05-08,9,Partner6,107,199660,332252
Katz,api-gateway-21,/customers/2678,OrderManagementService,True,BillingService,Pending,Completed,2021-01-17,19,Partner6,778,505938,775612
Eamia,api-gateway-79,/customers/8248,OrderManagementService,True,BillingService,Failed,Completed,2022-12-21,1,Partner6,565,882618,935627
Podcat,api-gateway-72,/customers/8989,ConfigService,True,DBCluster01,Failed,Completed,2022-09-19,23,Partner2,322,514826,998886
Devpulse,api-gateway-89,/customers/1897,OrderManagementService,True,Server42,Pending,Failed,2021-06-11,9,Partner9,670,336371,281109
Nlounge,api-gateway-18,/customers/2449,InventoryModule,False,AzureBlobStorage,Failed,Pending,2021-11-12,6,Partner2,448,128697,458741
Mynte,api-gateway-98,/customers/2332,NotificationEngine,True,KongGateway,Completed,Failed,2020-07-31,7,Partner8,840,128404,626046
Skimia,api-gateway-54,/customers/4049,DatabaseProxyService,True,SensorArrayA1,Pending,Pending,2021-10-07,11,Partner1,159,738444,401284
Quatz,api-gateway-38,/customers/1396,PaymentGateway,False,Server42,Failed,Failed,2022-10-29,10,Partner8,748,211105,873519
Skidoo,api-gateway-69,/customers/5775,LoggingService,False,SalesforceCRM,Pending,Completed,2022-07-21,9,Partner6,832,289495,356352
Avavee,api-gateway-80,/customers/2092,ConfigService,False,AWS_S3,Completed,Completed,2020-11-26,6,Partner5,892,878348,538956
Oozz,api-gateway-58,/customers/7880,GoogleMapsAPI,False,SalesforceCRM,Completed,Pending,2020-10-13,15,Partner2,960,41329,823997
Realbuzz,api-gateway-79,/customers/1193,NotificationEngine,False,AWS_S3,Pending,Completed,2021-09-30,12,Partner9,770,31952,235416
Quire,api-gateway-95,/customers/4474,GoogleMapsAPI,False,SmartLock-Entrance,Pending,Pending,2022-01-13,17,Partner2,196,81743,802112
Skinder,api-gateway-68,/customers/7189,PaymentGateway,False,SmartLock-Entrance,Completed,Pending,2021-08-16,14,Partner7,894,281489,398292
Bubblebox,api-gateway-02,/customers/3830,PaymentGateway,False,Server42,Failed,Pending,2022-08-06,11,Partner7,385,97791,169880
Flashset,api-gateway-87,/customers/2278,DatabaseProxyService,False,GooglePubSub,Pending,Failed,2020-11-29,16,Partner2,799,420945,71902
Jetpulse,api-gateway-37,/customers/7600,ConfigService,False,BillingService,Pending,Failed,2022-09-22,21,Partner7,543,548945,536573
Oyonder,api-gateway-56,/customers/7723,OrderManagementService,True,AuthService,Pending,Failed,2021-07-07,1,Partner1,843,440436,795004
Agimba,api-gateway-70,/customers/9566,UserService,False,SmartLock-Entrance,Failed,Completed,2022-01-10,20,Partner5,213,146451,618043
